study-david  study-marc  ID
VP03-r       nan         01-r
VP04-l       nan         02-l
VP13-r       nan         03-r
VP14-l       nan         04-l
VP15-r       nan         05-r
VP16-l       nan         06-l
VP17-r       nan         07-r
VP19-l       nan         08-l
VP21-l       nan         09-l
VP33-r       nan         10-r
VP35-r       nan         11-r
VP36-r       nan         12-r
VP37-r       nan         13-r
VP39-r       nan         14-r
VP01-l       VP01-l      15-l
VP20-r       VP02-r      16-r
VP22-r       VP03-r      17-r
VP12-l       VP04-l      18-l
VP05-r       VP05-r      19-r
VP06-r       VP06-r      20-r
nan          VP07-l      21-l
VP08-r       VP08-r      22-r
VP09-r       VP09-r      23-r
VP10-r       VP10-r      24-r
VP18-r       VP11-r      25-r
nan          VP12-l      26-l
nan          VP13-l      27-l
VP29-r       VP14-r      28-r
VP30-r       VP15-r      29-r
VP31-l       VP16-l      30-l
VP32-r       VP17-r      31-r
nan          VP18-r      32-r
VP34-l       VP19-l      33-l
VP28-r       VP20-r      34-r
VP23-r       VP21-r      35-r
VP07-l       VP22-l      36-l
VP38-l       VP23-r      37-r
VP25-r       VP24-r      38-r
VP27-l       VP25-l      39-l
VP41-r       VP26-r      40-r
VP02-l       VP27-l      41-l
VP40-r       VP28-r      42-r
nan          VP29-r      43-r
nan          VP30-l      44-l
nan          VP31-r      45-r
nan          VP32-r      46-r
nan          VP33-l      47-l
VP24-r       VP34-r      48-r
VP26-r       VP35-r      49-r
nan          VP36-l      50-l
nan          VP38-l      51-l
nan          VP39-r      52-r
nan          VP40-l      53-l
nan          VP41-l      54-l
nan          VP42-l      55-l
nan          VP43-l      56-l
nan          VP44-l      57-l
nan          VP45-l      58-l
nan          VP46-l      59-l
nan          VP47-l      60-l
nan          VP48-r      61-r
nan          VP49-r      62-r
nan          VP50-l      63-l
nan          VP51-r      64-r
nan          VP52-l      65-l
nan          VP53-r      66-r
nan          VP54-l      67-l
nan          VP55-r      68-r
nan          VP56-l      69-l
nan          VP57-r      70-r
nan          VP58-l      71-l
nan          VP59-l      72-l
nan          VP60-l      73-l
nan          VP61-l      74-l
nan          VP62-l      75-l
nan          VP63-r      76-r
nan          VP64-l      77-l
nan          VP65-r      78-r
nan          VP66-l      79-l
nan          VP67-l      80-l
nan          VP68-l      81-l
nan          VP69-r      82-r
nan          VP70-r      83-r
nan          VP71-l      84-l
nan          VP72-l      85-l
nan          VP73-r      86-r
nan          VP74-l      87-l
nan          VP75-l      88-l
nan          VP76-l      89-l
nan          VP77-r      90-r
nan          VP78-r      91-r
nan          VP79-r      92-r
nan          VP80-r      93-r
nan          VP81-r      94-r
nan          VP82-r      95-r
